105	Watch @taylorswift13 win her milestone award at the #ACMAwards! #ACMawards50 #TaylorSwift https://t.co/CIUmTr9JU1
106	THE @Taylorswift experience w @omgregory and @kim_anh_ \ud83d\udca5 #taytay #swifty #instadaily #taylorswift http://t.co/J8kwwMED4W
107	Country music is not country music anymore and it's a damn shame. #floridageorgiawho #rascalfags #taylorswift #areallgayyyyyy
108	Seriously #TaylorSwift is adorable
109	#taylorswift #treacherous #red #iknewyouwereatrouble #cats #1989 #shakeitoff #karliekloss \u2026 http://t.co/w6wQHBTWuV http://t.co/pJAxfZxbDa
110	And now I can't get #shakeitoff out of my head &amp; I'm okay with that.  #taylorswift #acmawards50 http://t.co/InuMHvr4hX
111	Cried a little during Mama Swifts speech!!  So full of love!!  #ACMAAwards50 #TaylorSwift
112	I really wanted to see #TaylorSwift perform! #AMCAwards50
113	Oh God, I forgot what all her original songs were about. ABORT MISSION!! ABORT MISSION!! AVOID AT ALL COST!! #TaylorSwift #Depressing
114	Tay Tay Sway #TaylorSwift http://t.co/rXFw2mjlkv
115	#ACMawards50 @taylorswift13 #TaylorSwift http://t.co/ntsPSHR3LR
116	@MelissainJax now if you were #TaylorSwift  #ACMawards50   you could bang out a quick song 'bout the thrills of flying @United  thru #ohare
117	'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate #TaylorSwift ~ Shake it Off
118	Proud mom! #ACMawards50, #TaylorSwift, #tearsofjoy, #countrymusic
119	Oh my gosh I'm balling with #TaylorSwift  mom giving her her milestone award! \ud83d\ude2d\ud83d\ude22\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d
120	Love #TaylorSwift Since beginning! She couldn't have said it better!! #ACMawards50
121	#TaylorSwift @taylorswift13 #ACMawards50 Taylor is amazing!! http://t.co/Avo3UTM8Zy
122	#ACMawards50 #TaylorSwift http://t.co/rEdKwdYUDU
123	#TaylorSwift Shows Off Her Signature Dance Moves at ACM Awards 2015 \u2013 Just Jared http://t.co/f9XEbGna4H
124	#TaylorSwift &amp; Camila Cabello: Working On New Music Together? \u2013 Hollywood Life http://t.co/wJ6MX9gSJh
125	@sydneyturner96 @taylorswift13 #ACMawards50  GF... stop the hatin... Taylor Swift is..  #TaylorSwift .. Nuff said! \u2661\u2661\u2661 &lt;(*^*)&gt;
126	Taylor Swift LEAKED PHOTOS WATCH - http://t.co/1iR2SAMXCu #TaylorSwift @taylorswift13
127	#TaylorSwift good choice for a dress \ud83d\udc4c\ud83d\udc93 http://t.co/5kAzI8T43J
128	#respectformama #cancercannot #TaylorSwift  https://t.co/bUTMFMfTIk
129	Not a huge fan of #TaylorSwift but her mom almost had me in tears! #ACMawards50
130	My girl Taylor is so classy\u2764\ufe0f #ACMawards50 #TaylorSwift @taylorswift13 \ud83d\udc95
131	#taylorswift #ACMawards50 #ACMawards @ AT&amp;T Stadium https://t.co/ZrG88hDwQI
132	Can someone win the lottery and get me @taylorswift13 tickets for Charlotte? \ud83d\ude2d #1989 #tswift #TaylorSwift
133	I'm not a huge Taylor Swift fan but her mom's speech was really sweet #ACMawards50 #motherdaughter #TaylorSwift
134	#TaylorSwift @taylorswift13 #ACMawards50 http://t.co/cUY5hxTe1T
135	Proud of @taylorswift13 &amp; even more proud of country music for recognizing her success #ACMawards50 #HatersGonnaHate #TaylorSwift
136	I will proudly admit that I am a fan of @taylorswift13 #TaylorSwift #ACMAwards
137	3 albums each sold a million copies in a week now that is an accomplishment #TaylorSwift #ACMawards50
138	So happy to see @taylorswift13 at the ACM awards. #loveher #classy #TaylorSwift   #ACMawards50  #shedeservesitall #beautiful
139	@taylornation13 I'm not sure I can even form words correctly after that exchange of pure, mother-daughter love. #ACMawards50 #taylorswift
140	Taylor Swift receiving the Milestone Award at ACM with a beautiful introduction by her Mom. #taylorswift, #ACM http://t.co/k0t15BtS6O
141	@KaseyPowalie can't say the same for #taylorswift...how about at least a thx MOM!!!
142	"I don't know what to say its a twist of fate when it all broke down. The story of us looks a lot like a tragedy now" #TaylorSwift
143	#TaylorSwift Shows Off Her Signature Dance Moves at ACM Awards 2015 \u2013 Just Jared http://t.co/2H610crzf5
144	Turn down for what.. #TaylorSwift #Taymila #CamilaCabello #FifthHarmon #camren #f4f #like4like\u2026 https://t.co/9sNMDnOwBB
145	\u266a #nowplaying \u266a Blank Space / Taylor Swift #TaylorSwift
146	@taylorswift13 mis respetos \ud83d\ude4c\ud83d\udc4f #SwiftiePower #TaylorSwift #ACMawards50 @TaySwiftMex @Tswift_mty
147	Because of mrs. swift, I love Taylor even more!! #chills #ACMawards50 #TaylorSwift
148	Congrats to #TaylorSwift who won the #MilestoneAward She was honored with one of the 50th anniversary\u2026 https://t.co/QAL6Ikiyqe
149	Why is #TaylorSwift the only milestone winner not performing tonight? #ACMawards50
150	#TaylorSwift is bomb. #ACMawards50
151	@taylornation13 So sweet!! #ACMAward50 #ACMAwards #TaylorSwift
152	@taylorswift13 more than deserved a #Milestone award! She is amazing and a hell of a role model #TaylorSwift #AMCAwards50
153	Definitely teared up during momma Swift's speech #ACMAward50 #TaylorSwift
154	#TaylorSwift mother has me in tears!!  I think it's #awesome they let her mother present her with such an honor. #emotional #proudmama
155	Now playing #TaylorSwift - Style #thewillowonline #ContinuousSoftRock  Click here to listen http://t.co/7afjw6xomy
156	Taylor Swift's MOM THO! \ud83d\ude29\ud83d\ude22\u2764\ufe0f@ACMawards #TaylorSwift
157	I'm officially a #TaylorSwift fan now https://t.co/jQUOGfeGMm
158	#TaylorSwift  your mom was amazing! Praying my girl can go from a couple friends to many like you! #hatersgonhate
159	#TaylorSwift #Ticket 2 Tickets Taylor Swift 7/11/15 MetLife Stadium NJ Floor 12, Row 19, Seats 2:\u2026 http://t.co/i7WTQmDcf0 #Tickets #Concert
160	Mama Swift made me cry! #TaylorSwift #ACMawards50
161	God Bless Andrea Swift #taylorswift #andreaswift #acmawards #acm https://t.co/kp3fMDcLxM
